Movie: Lawrence of Arabia (1962) | Age Group: 18-35     | Avg Rating: 3.60
Movie: Lawrence of Arabia (1962) | Age Group: 36-50     | Avg Rating: 3.29
Movie: Lawrence of Arabia (1962) | Age Group: 50+       | Avg Rating: 4.50
Movie: Psycho (1960) | Age Group: 18-35     | Avg Rating: 4.50
Movie: Psycho (1960) | Age Group: 36-50     | Avg Rating: 3.50
Movie: The Godfather: Part II (1974) | Age Group: 18-35     | Avg Rating: 3.78
Movie: The Godfather: Part II (1974) | Age Group: 36-50     | Avg Rating: 4.25
Movie: Sunset Boulevard (1950) | Age Group: 18-35     | Avg Rating: 4.17
Movie: Sunset Boulevard (1950) | Age Group: 36-50     | Avg Rating: 4.50
Movie: E.T. the Extra-Terrestrial (1982) | Age Group: 18-35     | Avg Rating: 3.56
Movie: E.T. the Extra-Terrestrial (1982) | Age Group: 36-50     | Avg Rating: 3.83
Movie: E.T. the Extra-Terrestrial (1982) | Age Group: 50+       | Avg Rating: 3.00
Movie: The Terminator (1984) | Age Group: 18-35     | Avg Rating: 4.17
Movie: The Terminator (1984) | Age Group: 36-50     | Avg Rating: 4.05
Movie: The Terminator (1984) | Age Group: 50+       | Avg Rating: 3.75
Movie: Fight Club (1999) | Age Group: 18-35     | Avg Rating: 3.50
Movie: Fight Club (1999) | Age Group: 36-50     | Avg Rating: 3.50
Movie: Fight Club (1999) | Age Group: 50+       | Avg Rating: 3.50
Movie: The Silence of the Lambs (1991) | Age Group: 18-35     | Avg Rating: 3.00
Movie: The Silence of the Lambs (1991) | Age Group: 36-50     | Avg Rating: 3.25
Movie: The Lord of the Rings: The Fellowship of the Ring (2001) | Age Group: 18-35     | Avg Rating: 4.00
Movie: The Lord of the Rings: The Fellowship of the Ring (2001) | Age Group: 36-50     | Avg Rating: 3.83
Movie: The Lord of the Rings: The Return of the King (2003) | Age Group: 18-35     | Avg Rating: 3.83
Movie: The Lord of the Rings: The Return of the King (2003) | Age Group: 36-50     | Avg Rating: 3.81
Movie: Gladiator (2000) | Age Group: 18-35     | Avg Rating: 3.44
Movie: Gladiator (2000) | Age Group: 36-50     | Avg Rating: 3.81
Movie: Gladiator (2000) | Age Group: 50+       | Avg Rating: 3.50
Movie: No Country for Old Men (2007) | Age Group: 18-35     | Avg Rating: 3.81
Movie: No Country for Old Men (2007) | Age Group: 36-50     | Avg Rating: 3.94
Movie: No Country for Old Men (2007) | Age Group: 50+       | Avg Rating: 4.00
Movie: The Social Network (2010) | Age Group: 18-35     | Avg Rating: 4.00
Movie: The Social Network (2010) | Age Group: 36-50     | Avg Rating: 3.67
Movie: Mad Max: Fury Road (2015) | Age Group: 18-35     | Avg Rating: 3.36
Movie: Mad Max: Fury Road (2015) | Age Group: 36-50     | Avg Rating: 3.64
