==================================================
SỐ LƯỢNG ĐƠN HÀNG THEO QUỐC GIA
--------------------------------------------------
+----------------+------------+
|Customer_Country|Total_Orders|
+----------------+------------+
|         Germany|       41754|
|          France|       12848|
|     Netherlands|       11629|
|         Belgium|        5464|
|         Austria|        5043|
|     Switzerland|        3640|
|  United Kingdom|        3382|
|          Poland|        2139|
|         Czechia|        2034|
|           Italy|        2025|
|           Spain|        1651|
|        Portugal|        1336|
|          Sweden|         975|
|         Denmark|         905|
|          Serbia|         746|
|          Norway|         716|
|        Slovakia|         534|
|        Slovenia|         495|
|          Turkey|         485|
|          Greece|         412|
|       Lithuania|         351|
|          Latvia|         280|
|         Croatia|         254|
|         Estonia|         148|
|         Finland|          81|
|      Luxembourg|          68|
|         Andorra|          46|
+----------------+------------+
==================================================
